DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2020/08/26 23:34:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.76,
2020/08/26 23:54:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.79,
2020/08/26 23:04:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.76,
2020/08/26 23:04:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.79,
2020/08/26 23:04:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.75,-54.78,
2020/08/26 23:04:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.75,-54.76,
2020/08/26 23:14:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.76,
2020/08/26 22:44:32,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,1.0,-8.65,-54.54,
2020/08/26 22:34:32,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,1.0,-8.65,-54.54,
2020/08/26 22:44:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.76,
2020/08/26 22:34:42,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.7,-7.21,-55.08,
2020/08/26 22:14:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.74,
2020/08/26 22:14:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.76,
2020/08/26 22:14:31,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,1.0,-8.65,-54.54,
2020/08/26 22:14:41,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.7,-7.21,-55.08,
2020/08/26 22:14:41,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,1.0,-7.34,-55.17,
2020/08/26 22:14:41,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.75,-7.34,-55.15,
2020/08/26 22:14:41,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.79,-7.36,-55.17,
2020/08/26 22:14:41,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.78,-7.36,-55.15,
2020/08/26 22:34:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.76,
2020/08/26 22:34:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.74,
2020/08/26 22:04:32,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,1.0,-8.65,-54.56,
2020/08/26 22:04:32,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,1.0,-8.65,-54.54,
2020/08/26 22:04:46,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,1.0,-6.53,-54.91,
2020/08/26 22:04:41,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.7,-7.21,-55.08,
2020/08/26 22:04:41,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,1.0,-7.34,-55.17,
2020/08/26 22:14:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.75,-54.76,
2020/08/26 22:14:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.79,
2020/08/26 22:04:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.79,
2020/08/26 22:04:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.76,
2020/08/26 22:04:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.75,-54.78,
2020/08/26 21:44:37,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.75,-54.76,
2020/08/26 21:44:41,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.85,-7.21,-55.1,
2020/08/26 21:44:41,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.7,-7.21,-55.08,
2020/08/26 21:44:41,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,0.7,-7.23,-55.1,
2020/08/26 21:44:41,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,1.0,-7.23,-55.08,
2020/08/26 21:44:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.79,
2020/08/26 21:34:32,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,1.0,-8.65,-54.56,
2020/08/26 21:34:32,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,0,0.0,1.0,-8.65,-54.54,
2020/08/26 21:44:38,GOES-16,Brasil,PARÁ,ALTAMIRA,Amazônia,83,0.0,1.0,-7.74,-54.74,
