"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"05/01/2020";"0500";"23,9";"24,1";"23,8";"95,0";"96,0";"95,0";"23,1";"23,4";"23,1";"990,0";"990,6";"990,0";"1,2";"355,0";"4,0";"";"0,0"
"05/01/2020";"0600";"23,6";"23,9";"23,6";"97,0";"97,0";"95,0";"23,1";"23,1";"23,0";"989,2";"990,0";"989,2";"0,7";"352,0";"3,0";"";"0,0"
"05/01/2020";"0700";"23,7";"23,7";"23,5";"95,0";"97,0";"95,0";"22,8";"23,1";"22,8";"989,1";"989,2";"988,9";"1,6";"360,0";"3,7";"";"0,0"
"05/01/2020";"0800";"23,4";"23,7";"23,4";"95,0";"95,0";"94,0";"22,6";"22,8";"22,5";"989,6";"989,6";"989,1";"0,8";"337,0";"3,9";"";"0,0"
"05/01/2020";"0900";"23,2";"23,4";"23,2";"96,0";"96,0";"95,0";"22,5";"22,6";"22,5";"990,0";"990,0";"989,6";"0,6";"350,0";"2,5";"";"0,0"
"05/01/2020";"1000";"23,4";"23,4";"23,1";"96,0";"97,0";"96,0";"22,8";"22,8";"22,5";"990,7";"990,7";"990,0";"0,5";"12,0";"1,7";"26,00";"0,0"
"05/01/2020";"1100";"24,0";"24,0";"23,3";"94,0";"96,0";"94,0";"23,0";"23,1";"22,7";"991,1";"991,1";"990,7";"0,9";"347,0";"2,0";"255,30";"0,0"
"05/01/2020";"1200";"24,7";"24,7";"24,0";"94,0";"95,0";"91,0";"23,7";"23,7";"23,0";"991,6";"991,6";"991,0";"0,7";"320,0";"2,0";"434,10";"0,0"
"05/01/2020";"1300";"26,6";"26,8";"24,7";"82,0";"94,0";"82,0";"23,4";"24,3";"23,0";"992,1";"992,2";"991,6";"1,4";"332,0";"3,9";"1002,80";"0,0"
"05/01/2020";"1400";"28,3";"28,5";"26,2";"78,0";"87,0";"78,0";"24,2";"25,0";"23,0";"992,0";"992,2";"992,0";"1,6";"359,0";"5,0";"1900,70";"0,0"
"05/01/2020";"1500";"26,6";"28,5";"25,4";"91,0";"92,0";"75,0";"24,9";"24,9";"22,8";"991,5";"992,0";"991,5";"1,3";"353,0";"5,5";"1618,90";"0,6"
"05/01/2020";"1600";"27,4";"28,3";"25,9";"84,0";"92,0";"76,0";"24,4";"25,6";"23,1";"990,4";"991,5";"990,4";"0,9";"330,0";"4,1";"1797,30";"0,6"
"05/01/2020";"1700";"29,9";"29,9";"26,6";"72,0";"91,0";"70,0";"24,3";"26,1";"23,5";"989,0";"990,4";"989,0";"1,6";"14,0";"4,7";"2585,10";"0,6"
"05/01/2020";"1800";"29,4";"30,2";"28,8";"70,0";"77,0";"68,0";"23,5";"24,4";"22,8";"987,7";"989,0";"987,7";"1,9";"359,0";"5,5";"956,80";"0,0"
"05/01/2020";"1900";"29,6";"29,8";"28,8";"69,0";"73,0";"65,0";"23,2";"24,3";"22,3";"987,0";"987,7";"987,0";"1,9";"347,0";"6,1";"566,60";"0,0"
"05/01/2020";"2000";"28,6";"29,7";"28,2";"71,0";"74,0";"63,0";"22,8";"23,2";"21,6";"987,0";"987,2";"987,0";"1,3";"6,0";"6,0";"300,10";"0,0"
"05/01/2020";"2100";"27,8";"28,6";"27,8";"77,0";"78,0";"71,0";"23,4";"23,6";"22,5";"987,1";"987,1";"986,9";"0,5";"32,0";"3,8";"194,10";"0,0"
"05/01/2020";"2200";"26,6";"27,8";"26,6";"84,0";"84,0";"77,0";"23,7";"23,7";"23,3";"987,7";"987,7";"987,1";"0,3";"41,0";"1,9";"48,40";"0,0"
"05/01/2020";"2300";"26,2";"26,6";"26,2";"84,0";"85,0";"83,0";"23,3";"23,7";"23,3";"988,7";"988,7";"987,7";"0,5";"349,0";"2,3";"";"0,0"
"06/01/2020";"0000";"25,4";"26,2";"25,4";"88,0";"89,0";"84,0";"23,3";"23,9";"23,3";"990,1";"990,1";"988,7";"0,8";"97,0";"2,0";"";"0,0"
"06/01/2020";"0100";"25,2";"25,5";"25,0";"85,0";"90,0";"84,0";"22,5";"23,6";"22,5";"990,3";"990,4";"990,1";"0,2";"171,0";"2,0";"";"0,0"
"06/01/2020";"0200";"24,9";"25,2";"24,9";"89,0";"90,0";"85,0";"23,0";"23,2";"22,5";"990,6";"990,6";"990,3";"0,3";"45,0";"2,5";"";"0,0"
"06/01/2020";"0300";"24,5";"25,0";"24,5";"92,0";"92,0";"88,0";"23,1";"23,2";"22,9";"990,4";"990,6";"990,4";"0,5";"141,0";"1,8";"";"0,0"
"06/01/2020";"0400";"24,2";"24,5";"24,2";"96,0";"96,0";"92,0";"23,5";"23,7";"23,0";"989,4";"990,4";"989,4";"0,5";"107,0";"1,5";"";"0,0"
"06/01/2020";"0500";"23,9";"24,2";"23,9";"97,0";"97,0";"96,0";"23,3";"23,5";"23,3";"989,3";"989,6";"989,2";"0,6";"146,0";"2,1";"";"0,0"
"06/01/2020";"0600";"23,2";"24,0";"23,2";"96,0";"97,0";"96,0";"22,5";"23,5";"22,5";"989,0";"989,3";"989,0";"0,9";"23,0";"3,3";"";"1,0"
"06/01/2020";"0700";"22,6";"23,2";"22,6";"97,0";"97,0";"96,0";"22,2";"22,4";"22,1";"988,8";"989,0";"988,8";"0,6";"51,0";"3,3";"";"4,6"
"06/01/2020";"0800";"22,8";"22,8";"22,6";"98,0";"98,0";"97,0";"22,4";"22,4";"22,2";"989,3";"989,3";"988,8";"1,1";"71,0";"3,4";"";"2,4"
"06/01/2020";"0900";"22,9";"22,9";"22,8";"97,0";"98,0";"97,0";"22,4";"22,5";"22,4";"990,1";"990,1";"989,2";"1,3";"68,0";"4,6";"";"0,4"
"06/01/2020";"1000";"22,7";"22,9";"22,7";"97,0";"98,0";"97,0";"22,3";"22,4";"22,3";"991,2";"991,2";"990,1";"1,0";"44,0";"4,1";"6,60";"4,0"
"06/01/2020";"1100";"22,5";"22,7";"22,3";"97,0";"97,0";"97,0";"22,1";"22,3";"21,9";"992,1";"992,1";"991,2";"0,9";"17,0";"3,4";"48,00";"9,6"
"06/01/2020";"1200";"22,9";"22,9";"22,4";"97,0";"98,0";"97,0";"22,3";"22,5";"22,0";"992,2";"992,2";"992,0";"1,5";"355,0";"5,0";"201,80";"3,4"
"06/01/2020";"1300";"23,7";"23,7";"22,9";"93,0";"97,0";"91,0";"22,5";"22,7";"22,0";"992,8";"992,8";"992,2";"";"";"";"831,10";"0,2"
"06/01/2020";"1400";"24,5";"24,5";"23,4";"90,0";"94,0";"87,0";"22,7";"22,9";"22,0";"992,8";"993,0";"992,8";"";"";"";"943,60";"0,0"
